Y\X	0	0,04	0,08	0,12	0,16	0,2	0,24	0,28	0,32	0,36	0,4	0,44	0,48	0,52	0,56	0,6	0,64	0,68	0,72	0,76	0,8	0,84	0,88	0,92	0,96	1	1,04	1,08	1,12	1,16	1,2	1,24	1,28	1,32	1,36	1,4	1,44	1,48	1,52	1,56	1,6	1,64	1,68	1,72	1,76	1,8	1,84	1,88	1,92	1,96	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0,02	0	3,278E-05	2,812E-05	2,684E-05	2,711E-05	2,793E-05	2,89E-05	2,949E-05	2,957E-05	2,902E-05	2,771E-05	2,566E-05	2,263E-05	1,855E-05	1,51E-05	7,61E-06	3,2E-07	7,98E-06	1,882E-05	3,336E-05	5,34E-05	8,482E-05	0,00014371	0,00030112	0,00112498	0,01013278	0,00112317	0,00029857	0,00014089	8,165E-05	4,939E-05	2,777E-05	1,104E-05	3,16E-06	1,569E-05	2,633E-05	3,5E-05	4,229E-05	4,826E-05	5,267E-05	5,571E-05	5,759E-05	5,801E-05	5,717E-05	5,549E-05	5,316E-05	5,089E-05	4,993E-05	5,286E-05	6,249E-05	
0,04	0	4,665E-05	4,931E-05	4,969E-05	5,094E-05	5,261E-05	5,431E-05	5,512E-05	5,492E-05	5,367E-05	5,108E-05	4,711E-05	4,103E-05	3,485E-05	2,464E-05	1,134E-05	2,29E-06	1,897E-05	4,137E-05	7,158E-05	0,00011442	0,00018361	0,00031909	0,00069036	0,00217053	0,0086179	0,00216867	0,00068689	0,00031327	0,00017631	0,00010603	6,07E-05	2,617E-05	2,57E-06	2,739E-05	4,831E-05	6,552E-05	8,01E-05	9,197E-05	0,00010088	0,00010725	0,00011112	0,00011211	0,00011076	0,00010752	0,00010282	9,791E-05	9,415E-05	9,302E-05	8,684E-05	
0,06	0	4,906E-05	6,35E-05	6,8E-05	7,098E-05	7,383E-05	7,617E-05	7,714E-05	7,667E-05	7,461E-05	7,073E-05	6,463E-05	5,773E-05	4,557E-05	3,139E-05	1,37E-05	7,55E-06	3,387E-05	6,898E-05	0,00011686	0,00018553	0,00029676	0,00051616	0,00106501	0,00267027	0,00639844	0,00266831	0,00106069	0,00050841	0,00028557	0,00017149	9,939E-05	4,59E-05	2,15E-06	3,493E-05	6,583E-05	9,167E-05	0,00011366	0,00013151	0,00014514	0,00015502	0,00016085	0,00016252	0,00016074	0,0001559	0,0001487	0,00014017	0,00013109	0,00012014	9,297E-05	
0,08	0	4,844E-05	7,262E-05	8,186E-05	8,74E-05	9,172E-05	9,47E-05	9,579E-05	9,518E-05	9,231E-05	8,711E-05	8,103E-05	6,891E-05	5,447E-05	3,683E-05	1,293E-05	1,653E-05	5,351E-05	0,00010291	0,00016928	0,0002636	0,0004172	0,00070977	0,00134918	0,00276906	0,00483783	0,00276628	0,00134297	0,00069978	0,00040299	0,00024436	0,00014397	7,036E-05	1,119E-05	3,802E-05	7,907E-05	0,00011388	0,00014336	0,0001673	0,00018586	0,00019919	0,00020701	0,00020951	0,00020727	0,00020073	0,00019052	0,00017735	0,0001611	0,00013802	9,327E-05	
0,1	0	4,699E-05	7,62E-05	9,183E-05	0,00010051	0,00010652	0,00011028	0,00011159	0,00011063	0,000107	0,00010278	9,234E-05	7,948E-05	6,209E-05	3,927E-05	8,38E-06	2,993E-05	7,876E-05	0,00014186	0,00022515	0,00034514	0,00053765	0,00087944	0,00152828	0,00267151	0,00383671	0,00266786	0,00151999	0,00086588	0,00051956	0,00032153	0,00019323	9,93E-05	2,464E-05	3,696E-05	8,867E-05	0,00013254	0,00016949	0,00019965	0,00022318	0,00023997	0,00024996	0,00025333	0,00025058	0,00024212	0,00022845	0,00020991	0,00018545	0,00015036	9,258E-05	
0,12	0	4,547E-05	7,789E-05	9,924E-05	0,00011067	0,00011849	0,00012301	0,00012465	0,00012327	0,00012142	0,00011378	0,00010403	8,865E-05	6,698E-05	3,807E-05	1,7E-07	4,838E-05	0,00010759	0,00018251	0,00028361	0,00042827	0,00065025	0,00101422	0,0016213	0,00250436	0,00318725	0,00249965	0,0016111	0,00099754	0,00062754	0,00039906	0,00024547	0,00013193	4,184E-05	3,244E-05	9,484E-05	0,00014776	0,00019236	0,00022895	0,0002574	0,00027776	0,00028998	0,0002942	0,00029092	0,00028034	0,00026286	0,0002385	0,00020561	0,00015975	9,242E-05	
0,14	0	4,405E-05	7,818E-05	0,00010247	0,00011837	0,00012776	0,00013306	0,00013492	0,00013604	0,00013199	0,00012612	0,00011412	9,509E-05	6,826E-05	3,33E-05	1,299E-05	6,915E-05	0,00013747	0,00022603	0,00034452	0,00050876	0,0007487	0,00111328	0,00165533	0,00232787	0,00274882	0,00232246	0,00164381	0,00109476	0,00072222	0,00047344	0,00029862	0,00016699	6,204E-05	2,481E-05	9,791E-05	0,00015995	0,00021238	0,00025542	0,00028886	0,00031287	0,00032737	0,00033243	0,00032854	0,00031571	0,0002943	0,00026394	0,00022295	0,00016775	9,31E-05	
0,16	0	4,273E-05	7,772E-05	0,00010419	0,00012407	0,00013457	0,0001407	0,00014566	0,00014592	0,00014434	0,00013668	0,00012145	9,807E-05	6,639E-05	2,485E-05	2,73E-05	9,089E-05	0,00017038	0,00027211	0,00040481	0,00058267	0,00083071	0,00118185	0,00165292	0,00216601	0,00244039	0,00216099	0,00164135	0,00116238	0,00080166	0,00054189	0,0003508	0,00020353	8,45E-05	1,462E-05	9,826E-05	0,00016954	0,00022992	0,00027932	0,00031782	0,00034565	0,00036242	0,00036839	0,00036379	0,00034864	0,00032321	0,00028694	0,0002385	0,00017524	9,464E-05	
