Y\X	0	0,02	0,04	0,06	0,08	0,1	0,12	0,14	0,16	0,18	0,2	0,22	0,24	0,26	0,28	0,3	0,32	0,34	0,36	0,38	0,4	0,42	0,44	0,46	0,48	0,5	0,52	0,54	0,56	0,58	0,6	0,62	0,64	0,66	0,68	0,7	0,72	0,74	0,76	0,78	0,8	0,82	0,84	0,86	0,88	0,9	0,92	0,94	0,96	0,98	1	1,02	1,04	1,06	1,08	1,1	1,12	1,14	1,16	1,18	1,2	1,22	1,24	1,26	1,28	1,3	1,32	1,34	1,36	1,38	1,4	1,42	1,44	1,46	1,48	1,5	1,52	1,54	1,56	1,58	1,6	1,62	1,64	1,66	1,68	1,7	1,72	1,74	1,76	1,78	1,8	1,82	1,84	1,86	1,88	1,9	1,92	1,94	1,96	1,98	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0,01	0	2,2E-07	1,79E-06	1,89E-06	1,22E-06	3,17E-06	2,52E-06	6E-07	1,71E-06	1,15E-06	3,5E-07	5,9E-07	4,6E-07	4E-08	7,9E-07	9,3E-07	9,5E-07	1,2E-06	1,15E-06	7,1E-07	1,5E-07	3,1E-07	1,23E-06	1,97E-06	2,56E-06	3,21E-06	3,48E-06	3,6E-06	3,43E-06	3,25E-06	2,89E-06	2,52E-06	2,29E-06	2,1E-06	2,01E-06	2,09E-06	2,36E-06	2,65E-06	3,15E-06	3,57E-06	3,72E-06	3,51E-06	3,13E-06	2,62E-06	2,33E-06	2,13E-06	1,74E-06	1,13E-06	6,1E-07	2,3E-07	0	1,5E-07	2,7E-07	4,1E-07	5,5E-07	7,7E-07	1,01E-06	1,31E-06	1,76E-06	2,31E-06	2,82E-06	3,34E-06	3,89E-06	4,33E-06	4,65E-06	4,95E-06	5,18E-06	5,33E-06	5,46E-06	5,6E-06	5,74E-06	5,93E-06	6,2E-06	6,56E-06	7,01E-06	7,57E-06	8,21E-06	8,92E-06	9,68E-06	1,051E-05	1,14E-05	1,237E-05	1,341E-05	1,451E-05	1,566E-05	1,686E-05	1,812E-05	1,946E-05	2,084E-05	2,226E-05	2,363E-05	2,486E-05	2,582E-05	2,633E-05	2,614E-05	2,495E-05	2,242E-05	1,815E-05	1,181E-05	4,31E-06	
0,02	0	8,9E-07	7,5E-07	4,4E-07	1,93E-06	2,41E-06	1,03E-06	1,47E-06	2,36E-06	1,71E-06	2,26E-06	2,97E-06	2,56E-06	2,83E-06	2,58E-06	2,05E-06	1,82E-06	9,9E-07	5E-07	2,1E-07	9,5E-07	1,35E-06	2,13E-06	2,66E-06	3,38E-06	4,08E-06	4,69E-06	5,33E-06	5,77E-06	6,24E-06	6,43E-06	6,57E-06	6,4E-06	6,18E-06	5,77E-06	5,41E-06	5,2E-06	5,24E-06	5,51E-06	5,82E-06	5,88E-06	5,53E-06	5,12E-06	4,98E-06	5,15E-06	5,24E-06	4,78E-06	3,76E-06	2,68E-06	1,78E-06	9,2E-07	3E-08	7,6E-07	1,47E-06	2,19E-06	2,76E-06	3,19E-06	3,7E-06	4,43E-06	5,18E-06	5,93E-06	6,85E-06	7,86E-06	8,78E-06	9,7E-06	1,065E-05	1,15E-05	1,227E-05	1,298E-05	1,362E-05	1,417E-05	1,472E-05	1,529E-05	1,593E-05	1,669E-05	1,758E-05	1,861E-05	1,978E-05	2,112E-05	2,264E-05	2,438E-05	2,635E-05	2,853E-05	3,088E-05	3,337E-05	3,599E-05	3,875E-05	4,166E-05	4,467E-05	4,77E-05	5,061E-05	5,322E-05	5,532E-05	5,652E-05	5,634E-05	5,421E-05	4,936E-05	4,075E-05	2,781E-05	1,23E-05	
0,03	0	1,4E-06	3,5E-07	2,06E-06	2,36E-06	2,84E-06	2,99E-06	2,51E-06	2,85E-06	2,78E-06	2,46E-06	2,74E-06	2,9E-06	2,69E-06	2,69E-06	3E-06	2,66E-06	2,26E-06	1,98E-06	8,5E-07	1,2E-07	1,16E-06	2,64E-06	3,97E-06	5,31E-06	6,42E-06	7,37E-06	7,96E-06	8,33E-06	8,63E-06	8,68E-06	8,68E-06	8,6E-06	8,49E-06	8,3E-06	8,36E-06	8,58E-06	9,03E-06	9,58E-06	9,84E-06	9,37E-06	8,42E-06	7,52E-06	7,14E-06	7,21E-06	7,1E-06	6,23E-06	4,96E-06	3,85E-06	2,94E-06	1,96E-06	9E-07	2,1E-07	1,41E-06	2,72E-06	3,9E-06	5,01E-06	6,31E-06	7,78E-06	9,13E-06	1,043E-05	1,188E-05	1,327E-05	1,45E-05	1,579E-05	1,713E-05	1,841E-05	1,968E-05	2,098E-05	2,224E-05	2,346E-05	2,472E-05	2,599E-05	2,73E-05	2,871E-05	3,02E-05	3,179E-05	3,349E-05	3,536E-05	3,748E-05	3,991E-05	4,27E-05	4,582E-05	4,925E-05	5,297E-05	5,696E-05	6,125E-05	6,584E-05	7,063E-05	7,549E-05	8,018E-05	8,448E-05	8,802E-05	9,027E-05	9,052E-05	8,784E-05	8,083E-05	6,784E-05	4,83E-05	2,403E-05	
0,04	0	9E-08	1,54E-06	2,27E-06	2,39E-06	2,26E-06	1,81E-06	1,82E-06	2,23E-06	2,68E-06	3,28E-06	3,92E-06	4,26E-06	4,19E-06	3,93E-06	3,59E-06	2,85E-06	1,92E-06	1,07E-06	1E-08	9,4E-07	1,81E-06	2,96E-06	4,19E-06	5,5E-06	6,86E-06	8,14E-06	9,36E-06	1,041E-05	1,123E-05	1,178E-05	1,198E-05	1,182E-05	1,146E-05	1,102E-05	1,074E-05	1,092E-05	1,149E-05	1,215E-05	1,245E-05	1,202E-05	1,112E-05	1,055E-05	1,059E-05	1,072E-05	1,013E-05	8,56E-06	6,56E-06	4,85E-06	3,37E-06	1,85E-06	3,6E-07	1,01E-06	2,46E-06	3,92E-06	5,19E-06	6,56E-06	8,37E-06	1,037E-05	1,233E-05	1,448E-05	1,68E-05	1,897E-05	2,1E-05	2,307E-05	2,505E-05	2,686E-05	2,865E-05	3,039E-05	3,205E-05	3,374E-05	3,551E-05	3,737E-05	3,937E-05	4,154E-05	4,383E-05	4,625E-05	4,881E-05	5,155E-05	5,456E-05	5,792E-05	6,166E-05	6,576E-05	7,022E-05	7,504E-05	8,023E-05	8,589E-05	9,199E-05	9,844E-05	0,00010504	0,00011155	0,00011766	0,0001229	0,00012658	0,00012774	0,0001249	0,00011601	9,91E-05	7,331E-05	3,915E-05	
0,05	0	5,1E-07	1,1E-06	3,14E-06	2,51E-06	3,06E-06	3,63E-06	2,7E-06	3,36E-06	3,81E-06	3,37E-06	3,8E-06	3,83E-06	3,44E-06	3,37E-06	3,34E-06	2,9E-06	2,13E-06	1,5E-06	3,3E-07	9,7E-07	2,18E-06	3,96E-06	5,68E-06	7,3E-06	8,77E-06	1,004E-05	1,109E-05	1,188E-05	1,269E-05	1,313E-05	1,345E-05	1,353E-05	1,353E-05	1,346E-05	1,371E-05	1,426E-05	1,501E-05	1,555E-05	1,532E-05	1,427E-05	1,31E-05	1,26E-05	1,284E-05	1,302E-05	1,222E-05	1,043E-05	8,39E-06	6,54E-06	4,69E-06	2,66E-06	5,6E-07	1,56E-06	3,75E-06	5,78E-06	7,56E-06	9,48E-06	1,174E-05	1,404E-05	1,632E-05	1,89E-05	2,165E-05	2,432E-05	2,704E-05	2,99E-05	3,271E-05	3,542E-05	3,81E-05	4,065E-05	4,305E-05	4,541E-05	4,778E-05	5,02E-05	5,275E-05	5,547E-05	5,836E-05	6,143E-05	6,473E-05	6,834E-05	7,234E-05	7,681E-05	8,173E-05	8,705E-05	9,277E-05	9,886E-05	0,00010541	0,00011249	0,0001201	0,00012812	0,00013636	0,00014458	0,00015247	0,00015948	0,0001648	0,00016705	0,00016423	0,00015392	0,00013387	0,00010192	5,663E-05	
0,06	0	1,02E-06	3,23E-06	3,38E-06	3,45E-06	3,73E-06	2,74E-06	2,78E-06	3,55E-06	3,74E-06	4,49E-06	4,88E-06	4,76E-06	4,66E-06	3,87E-06	3,3E-06	2,33E-06	9E-07	5E-08	1,17E-06	2,21E-06	3,23E-06	4,75E-06	6,25E-06	8,02E-06	9,64E-06	1,131E-05	1,282E-05	1,408E-05	1,506E-05	1,561E-05	1,578E-05	1,55E-05	1,526E-05	1,507E-05	1,538E-05	1,622E-05	1,734E-05	1,794E-05	1,776E-05	1,677E-05	1,583E-05	1,562E-05	1,588E-05	1,549E-05	1,396E-05	1,159E-05	9,17E-06	7,03E-06	4,95E-06	2,7E-06	4E-07	2,01E-06	4,52E-06	6,93E-06	9,29E-06	1,202E-05	1,507E-05	1,809E-05	2,115E-05	2,443E-05	2,77E-05	3,081E-05	3,4E-05	3,73E-05	4,057E-05	4,384E-05	4,717E-05	5,045E-05	5,367E-05	5,692E-05	6,018E-05	6,349E-05	6,688E-05	7,037E-05	7,394E-05	7,765E-05	8,158E-05	8,587E-05	9,066E-05	9,601E-05	0,00010191	0,00010833	0,00011525	0,00012268	0,00013071	0,00013939	0,00014868	0,00015845	0,00016847	0,00017855	0,00018837	0,00019733	0,00020439	0,00020776	0,00020516	0,00019406	0,0001713	0,00013289	7,591E-05	
0,07	0	5,7E-07	1,2E-06	3,24E-06	3,61E-06	3,43E-06	4,02E-06	4,27E-06	4,58E-06	5,26E-06	5,34E-06	4,95E-06	4,9E-06	4,31E-06	3,49E-06	3,24E-06	2,15E-06	8,5E-07	8E-08	1,58E-06	3,01E-06	4,58E-06	6,48E-06	8,39E-06	1,013E-05	1,165E-05	1,317E-05	1,437E-05	1,55E-05	1,643E-05	1,703E-05	1,733E-05	1,737E-05	1,736E-05	1,75E-05	1,807E-05	1,895E-05	1,98E-05	1,994E-05	1,922E-05	1,811E-05	1,752E-05	1,774E-05	1,817E-05	1,765E-05	1,582E-05	1,322E-05	1,054E-05	7,91E-06	5,23E-06	2,41E-06	5E-07	3,44E-06	6,25E-06	8,92E-06	1,165E-05	1,478E-05	1,821E-05	2,175E-05	2,55E-05	2,951E-05	3,352E-05	3,744E-05	4,143E-05	4,543E-05	4,932E-05	5,314E-05	5,695E-05	6,066E-05	6,436E-05	6,815E-05	7,204E-05	7,607E-05	8,027E-05	8,459E-05	8,902E-05	9,358E-05	9,837E-05	0,00010351	0,00010914	0,00011532	0,00012206	0,00012935	0,0001372	0,0001457	0,00015497	0,00016506	0,00017592	0,00018738	0,00019926	0,00021137	0,00022339	0,00023458	0,00024353	0,00024826	0,00024652	0,00023534	0,00021012	0,00016559	9,717E-05	
0,08	0	6E-08	1,77E-06	3,29E-06	3,18E-06	2,88E-06	3,26E-06	3,75E-06	4,4E-06	5,53E-06	6,1E-06	6,02E-06	5,99E-06	5,29E-06	4,12E-06	3,16E-06	1,58E-06	1E-07	1,32E-06	2,68E-06	4,05E-06	5,55E-06	7,41E-06	9,4E-06	1,142E-05	1,332E-05	1,514E-05	1,677E-05	1,799E-05	1,884E-05	1,922E-05	1,916E-05	1,889E-05	1,886E-05	1,916E-05	2,003E-05	2,125E-05	2,214E-05	2,209E-05	2,125E-05	2,02E-05	1,973E-05	1,991E-05	1,989E-05	1,877E-05	1,654E-05	1,379E-05	1,103E-05	8,31E-06	5,48E-06	2,35E-06	1E-06	4,42E-06	7,75E-06	1,104E-05	1,449E-05	1,825E-05	2,218E-05	2,62E-05	3,041E-05	3,479E-05	3,921E-05	4,366E-05	4,826E-05	5,293E-05	5,756E-05	6,214E-05	6,665E-05	7,102E-05	7,531E-05	7,962E-05	8,398E-05	8,845E-05	9,308E-05	9,787E-05	0,00010282	0,000108	0,00011352	0,00011951	0,00012605	0,00013317	0,00014083	0,00014902	0,00015777	0,00016721	0,00017749	0,00018867	0,00020072	0,00021351	0,00022696	0,00024096	0,00025512	0,00026845	0,00027932	0,00028587	0,0002858	0,00027516	0,0002483	0,00019903	0,0001196	
