Y\X	0	0,04	0,08	0,12	0,16	0,2	0,24	0,28	0,32	0,36	0,4	0,44	0,48	0,52	0,56	0,6	0,64	0,68	0,72	0,76	0,8	0,84	0,88	0,92	0,96	1	1,04	1,08	1,12	1,16	1,2	1,24	1,28	1,32	1,36	1,4	1,44	1,48	1,52	1,56	1,6	1,64	1,68	1,72	1,76	1,8	1,84	1,88	1,92	1,96	
0	0	0,12533323	0,24868989	0,36812455	0,48175367	0,58778525	0,68454711	0,77051324	0,84432793	0,90482705	0,95105652	0,98228725	0,99802673	0,99802673	0,98228725	0,95105652	0,90482705	0,84432793	0,77051324	0,68454711	0,58778525	0,48175367	0,36812455	0,24868989	0,12533323	0	0,12533323	0,24868989	0,36812455	0,48175367	0,58778525	0,68454711	0,77051324	0,84432793	0,90482705	0,95105652	0,98228725	0,99802673	0,99802673	0,98228725	0,95105652	0,90482705	0,84432793	0,77051324	0,68454711	0,58778525	0,48175367	0,36812455	0,24868989	0,12533323	
0,02	0,0196	0,13556886	0,25069777	0,36265573	0,46948866	0,56942089	0,66082667	0,74223709	0,81235561	0,87007447	0,91449097	0,94492061	0,96090827	0,9622362	0,94892907	0,92125659	0,87973337	0,82511837	0,75841546	0,68087991	0,59404127	0,4997688	0,40045866	0,29961283	0,20404085	0,13503007	0,20531608	0,30214382	0,40420543	0,5046713	0,60002014	0,68783616	0,76623095	0,83365716	0,88884253	0,93076731	0,95865941	0,97199474	0,97049773	0,95414174	0,92314836	0,87798264	0,81934547	0,74816446	0,66558152	0,57293842	0,4717642	0,3637668	0,25084391	0,13516542	
0,04	0,0384	0,14602262	0,25352227	0,35850794	0,45900471	0,55326005	0,63969301	0,71688787	0,78360303	0,83878348	0,88157429	0,91133291	0,92763927	0,93030487	0,91937863	0,89515165	0,85816093	0,80919514	0,7493063	0,67983506	0,60246765	0,5193709	0,43352134	0,34957815	0,2764839	0,23562699	0,27907043	0,35471273	0,44112528	0,52932409	0,61460992	0,69396849	0,7651953	0,82656733	0,87670946	0,91453818	0,9392387	0,95025485	0,94728331	0,93027146	0,89941541	0,85515407	0,79816288	0,72934626	0,64982695	0,5609363	0,46420853	0,36138441	0,25444682	0,14574527	
0,06	0,0564	0,15650705	0,25699136	0,35551427	0,4501289	0,53911866	0,62094868	0,69425459	0,75784632	0,81071824	0,85206016	0,88126863	0,89795685	0,90196386	0,89336179	0,87246202	0,83982256	0,79625902	0,74286521	0,68105196	0,61262981	0,53998197	0,46644423	0,39718267	0,34123421	0,3155316	0,34517482	0,40500534	0,47803067	0,55515296	0,63114552	0,70261426	0,76712005	0,82279745	0,8681827	0,90213473	0,92379889	0,9325878	0,92817085	0,91047039	0,87965792	0,83614787	0,78059259	0,71387566	0,6371031	0,55159756	0,45889698	0,36076644	0,25924271	0,156754	
0,08	0,0736	0,16690503	0,26095868	0,35352159	0,44269928	0,52682313	0,6044074	0,67413789	0,73487396	0,78565607	0,825716	0,85448678	0,87161286	0,87695932	0,87061966	0,85292375	0,82444761	0,78602883	0,73879238	0,68420052	0,62414514	0,5611281	0,49862537	0,44180142	0,39878194	0,38197566	0,40412472	0,45240754	0,51433605	0,58170436	0,64926823	0,71347317	0,77174047	0,82210477	0,86303371	0,8933388	0,91212994	0,91879023	0,91296325	0,89454753	0,86369082	0,82078481	0,76646072	0,70158293	0,62724251	0,54475352	0,45565484	0,36172482	0,26502382	0,16798909	
0,1	0,09	0,17713181	0,26529865	0,35239105	0,43656515	0,51621057	0,58989376	0,65635015	0,71448644	0,7633869	0,8023224	0,83076029	0,84837397	0,85505257	0,85090894	0,83628882	0,81178256	0,77824227	0,73681409	0,68898805	0,63668903	0,58244836	0,52970534	0,48330432	0,45012859	0,43904925	0,45692541	0,49679868	0,54969769	0,60863877	0,66867876	0,726281	0,77881693	0,82426652	0,8610522	0,8879494	0,90403785	0,90867437	0,9014789	0,88232694	0,85134385	0,80890023	0,75560732	0,69231188	0,62009101	0,54024988	0,45432457	0,3640959	0,27162434	0,17931481	
0,12	0,1056	0,18712372	0,26991526	0,3519982	0,4315872	0,50712872	0,57724291	0,64071474	0,69649623	0,74371325	0,78167337	0,8098759	0,82802111	0,83601976	0,83400177	0,82232573	0,80159089	0,77265949	0,73668455	0,69515757	0,64999663	0,60368876	0,55951149	0,52182931	0,49629542	0,48924426	0,50460337	0,53832568	0,58395657	0,63572223	0,68913896	0,74081171	0,78813697	0,82908203	0,86204664	0,88578214	0,89934464	0,90206848	0,89355173	0,87364808	0,84246198	0,80034392	0,74788652	0,68592016	0,61550856	0,53794727	0,4547661	0,36773968	0,27891234	0,19063585	
0,14	0,1204	0,19683064	0,27472502	0,35222901	0,42763723	0,49943567	0,56630066	0,62706594	0,68072748	0,72645016	0,76357607	0,79163406	0,81034911	0,81965148	0,81968553	0,81081813	0,79365635	0,76906278	0,73818214	0,70248945	0,66386163	0,62468468	0,58799852	0,55763757	0,53817804	0,53418923	0,54805867	0,57725919	0,61708132	0,66280882	0,71046737	0,75687761	0,79951614	0,83637243	0,86584415	0,88666998	0,89788902	0,89881681	0,88903127	0,86836578	0,83690501	0,7949804	0,74316694	0,6822797	0,61336947	0,5377217	0,45685692	0,3725377	0,28678263	0,2018827	
0,16	0,1344	0,20621164	0,27965647	0,35299169	0,42459765	0,49299985	0,5569234	0,61524942	0,6670159	0,71142468	0,74785002	0,77584822	0,79516663	0,80575273	0,80776109	0,80156815	0,78778072	0,76725253	0,74111261	0,71080209	0,67812831	0,64533854	0,61520084	0,59103332	0,57652145	0,57501342	0,58804058	0,61391272	0,64912146	0,68982093	0,73253245	0,77432665	0,81279669	0,84598072	0,87229089	0,89046333	0,8995263	0,89877955	0,88778264	0,86635022	0,83454801	0,79268902	0,74133187	0,6812769	0,61356276	0,53946432	0,46049129	0,37839072	0,29515111	0,21300328	
