Y\X	0	0,1	0,2	0,3	0,4	0,5	0,6	0,7	0,8	0,9	1	1,1	1,2	1,3	1,4	1,5	1,6	1,7	1,8	1,9	
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
0,05	1	1,00024675	1,00098712	1,00222148	1,00395043	1,00617482	1,00889571	1,01211441	1,01583245	1,02005154	1,02477363	1,03000084	1,03573545	1,04197994	1,04873689	1,05600903	1,06379921	1,07211034	1,08094541	1,09030744	
0,1	1	1,00098712	1,00395043	1,00889571	1,01583245	1,02477363	1,03573545	1,04873689	1,06379921	1,08094541	1,10019947	1,12158558	1,14512716	1,17084586	1,19876038	1,22888515	1,26122895	1,29579339	1,33257126	1,37154484	
0,15	1	1,00222148	1,00889571	1,02005154	1,03573545	1,05600903	1,08094541	1,11062453	1,14512716	1,18452763	1,22888515	1,27823381	1,33257126	1,39184616	1,45594483	1,52467728	1,59776334	1,67481947	1,7553471	1,83872357	
0,2	1	1,00395043	1,01583245	1,03573545	1,06379921	1,10019947	1,14512716	1,19876038	1,26122895	1,33257126	1,41268409	1,50126689	1,59776334	1,70130441	1,81065862	1,92419654	2,03987727	2,15526438	2,2675773	2,37378164	
0,25	1	1,00617482	1,02477363	1,05600903	1,10019947	1,15771312	1,22888515	1,31390649	1,41268409	1,52467728	1,64872127	1,78285718	1,92419654	2,06885487	2,21199014	2,34797532	2,47071726	2,5741085	2,65256808	2,70159995	
0,3	1	1,00889571	1,03573545	1,08094541	1,14512716	1,22888515	1,33257126	1,45594483	1,59776334	1,7553471	1,92419654	2,09777411	2,2675773	2,42360626	2,55525837	2,65256808	2,7075857	2,7156012	2,67591554	2,59195787	
0,35	1	1,01211441	1,04873689	1,11062453	1,19876038	1,31390649	1,45594483	1,62302975	1,81065862	2,01088303	2,21199014	2,39900852	2,55525837	2,66484753	2,7156012	2,70159995	2,62449433	2,49313334	2,32163935	2,12659202	
0,4	1	1,01583245	1,06379921	1,14512716	1,26122895	1,41268409	1,59776334	1,81065862	2,03987727	2,2675773	2,47071726	2,62449433	2,7075857	2,7075857	2,62449433	2,47071726	2,2675773	2,03987727	1,81065862	1,59776334	
0,45	1	1,02005154	1,08094541	1,18452763	1,33257126	1,52467728	1,7553471	2,01088303	2,2675773	2,49313334	2,65256808	2,71761126	2,67591554	2,53544969	2,32163935	2,06885487	1,81065862	1,572939	1,37154484	1,21354578	
0,5	1	1,02477363	1,10019947	1,22888515	1,41268409	1,64872127	1,92419654	2,21199014	2,47071726	2,65256808	2,71828183	2,65256808	2,47071726	2,21199014	1,92419654	1,64872127	1,41268409	1,22888515	1,10019947	1,02477363	
0,55	1	1,03000084	1,12158558	1,27823381	1,50126689	1,78285718	2,09777411	2,39900852	2,62449433	2,71761126	2,65256808	2,44752548	2,15526438	1,83872357	1,54857226	1,31390649	1,14512716	1,04197994	1,00098712	1,02005154	
0,6	1	1,03573545	1,14512716	1,33257126	1,59776334	1,92419654	2,2675773	2,55525837	2,7075857	2,67591554	2,47071726	2,15526438	1,81065862	1,50126689	1,26122895	1,10019947	1,01583245	1,00395043	1,06379921	1,19876038	
0,65	1	1,04197994	1,17084586	1,39184616	1,70130441	2,06885487	2,42360626	2,66484753	2,7075857	2,53544969	2,21199014	1,83872357	1,50126689	1,24477938	1,08094541	1,00617482	1,01583245	1,11062453	1,29579339	1,572939	
0,7	1	1,04873689	1,19876038	1,45594483	1,81065862	2,21199014	2,55525837	2,7156012	2,62449433	2,32163935	1,92419654	1,54857226	1,26122895	1,08094541	1,00395043	1,02477363	1,14512716	1,37154484	1,70130441	2,09777411	
0,75	1	1,05600903	1,22888515	1,52467728	1,92419654	2,34797532	2,65256808	2,70159995	2,47071726	2,06885487	1,64872127	1,31390649	1,10019947	1,00617482	1,02477363	1,15771312	1,41268409	1,78285718	2,21199014	2,5741085	
0,8	1	1,06379921	1,26122895	1,59776334	2,03987727	2,47071726	2,7075857	2,62449433	2,2675773	1,81065862	1,41268409	1,14512716	1,01583245	1,01583245	1,14512716	1,41268409	1,81065862	2,2675773	2,62449433	2,7075857	
0,85	1	1,07211034	1,29579339	1,67481947	2,15526438	2,5741085	2,7156012	2,49313334	2,03987727	1,572939	1,22888515	1,04197994	1,00395043	1,11062453	1,37154484	1,78285718	2,2675773	2,63910642	2,694314	2,39900852	
0,9	1	1,08094541	1,33257126	1,7553471	2,2675773	2,65256808	2,67591554	2,32163935	1,81065862	1,37154484	1,10019947	1,00098712	1,06379921	1,29579339	1,70130441	2,21199014	2,62449433	2,694314	2,37378164	1,86702255	
0,95	1	1,09030744	1,37154484	1,83872357	2,37378164	2,70159995	2,59195787	2,12659202	1,59776334	1,21354578	1,02477363	1,02005154	1,19876038	1,572939	2,09777411	2,5741085	2,7075857	2,39900852	1,86702255	1,39184616	
1	1	1,10019947	1,41268409	1,92419654	2,47071726	2,71828183	2,47071726	1,92419654	1,41268409	1,10019947	1	1,10019947	1,41268409	1,92419654	2,47071726	2,71828183	2,47071726	1,92419654	1,41268409	1,10019947	
																					
